422, 402, 479, 522, 422
3343, 3186, 3793, 4130, 3343
2584, 2462, 2931, 3192, 2584
2043, 1947, 2318, 2524, 2043
638, 608, 723, 788, 638
765, 729, 868, 945, 765
2561, 2441, 2906, 3164, 2561
2975, 2835, 3375, 3675, 2975
2544, 2425, 2886, 3143, 2544
1564, 1490, 1774, 1932, 1564
2913, 2776, 3304, 3598, 2913
1615, 1539, 1832, 1995, 1615
793, 756, 900, 980, 793
861, 821, 977, 1064, 861
1439, 1372, 1633, 1778, 1439
612, 583, 694, 756, 612
1238, 1180, 1405, 1530, 1238
2646, 2522, 3002, 3269, 2646
164, 157, 186, 203, 164
1757, 1674, 1993, 2170, 1757
2794, 2662, 3169, 3451, 2794
2238, 2133, 2539, 2765, 2238
2918, 2781, 3311, 3605, 2918
2250, 2144, 2552, 2779, 2250
1221, 1164, 1385, 1509, 1221
1992, 1898, 2260, 2461, 1992
1958, 1866, 2221, 2419, 1958
1148, 1094, 1302, 1418, 1148
813, 775, 923, 1005, 813
1862, 1774, 2112, 2300, 1862
1238, 1180, 1405, 1530, 1238
2805, 2673, 3182, 3465, 2805
408, 389, 463, 504, 408
2695, 2568, 3057, 3329, 2695
1794, 1709, 2035, 2216, 1794
286, 273, 325, 354, 286
2893, 2757, 3282, 3574, 2893
898, 856, 1019, 1110, 898
904, 861, 1025, 1117, 904
867, 826, 984, 1071, 867
436, 416, 495, 539, 436
513, 489, 582, 634, 513
1850, 1763, 2099, 2286, 1850
1182, 1126, 1340, 1460, 1182
2734, 2606, 3102, 3378, 2734
